movieId,title,runtime,countries,year,plot
15,Cutthroat Island,124,"[USA, France, Italy, Germany]",1995,A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.
16,Casino,178,"[USA, France]",1995,"Greed, deception, money, power, and murder occur between two mobster best friends and a trophy wife over a gambling empire."
17,Sense and Sensibility,136,"[USA, UK]",1995,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the titular opposites."
18,Four Rooms,98,[USA],1995,Four interlocking tales that take place in a fading hotel on New Year's Eve.
19,Ace Ventura: When Nature Calls,90,[USA],1995,"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa."
20,Money Train,110,[USA],1995,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him."
21,Get Shorty,105,[USA],1995,A mobster travels to Hollywood to collect a debt and discovers that the movie business is much the same as his current job.
22,Copycat,123,[USA],1995,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.
23,Assassins,132,"[France, USA]",1995,Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.
24,Powder,111,[USA],1995,A young bald albino boy with unique powers shakes up the rural community he lives in.
25,Leaving Las Vegas,111,[USA],1995,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera."
26,Othello,123,"[USA, UK]",1995,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.
27,Now and Then,100,[USA],1995,Four 12-year-old girls grow up together during an eventful small-town summer in 1970.
28,Persuasion,107,"[UK, USA, France]",1995,"Eight years earlier, Anne Elliot, the daughter of a financially troubled aristocratic family, was persuaded to break off her engagement to Frederick Wentworth, a young seaman, who, though ..."
29,"City of Lost Children, The (Cité des enfants perdus, La)",112,"[France, Germany, Spain]",1995,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process."
30,Shanghai Triad (Yao a yao yao dao waipo qiao),108,"[France, China]",1995,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.
31,Dangerous Minds,99,[USA],1995,An ex-Marine turned teacher struggles to connect with her students in an inner city school.
32,Twelve Monkeys (a.k.a. 12 Monkeys),129,[USA],1995,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet."
34,Babe,91,"[Australia, USA]",1995,"Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett."
35,Carrington,121,"[UK, France]",1995,The platonic relationship between artist Dora Carrington and writer Lytton Strachey in the early 20th century.
36,Dead Man Walking,122,"[UK, USA]",1995,"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families."
37,Across the Sea of Time,51,[USA],1995,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all ..."
38,It Takes Two,101,[USA],1995,"Alyssa (a rich girl) and Amanda (an orphan) are two little girls who are identical, but complete strangers, that accidentally meet one day. In an attempt to stop Alyssa's father from ..."
39,Clueless,97,[USA],1995,"A rich high school student tries to boost a new pupil's popularity, but reckons without affairs of the heart getting in the way."
40,"Cry, the Beloved Country",106,"[South Africa, USA]",1995,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.
41,Richard III,104,"[UK, USA]",1995,The classic Shakespearean play about a murderously scheming king staged in an alternative fascist England setting.
42,Dead Presidents,119,[USA],1995,"A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed."
43,Restoration,117,"[USA, UK]",1995,"The exiled royal physician to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman."
44,Mortal Kombat,101,[USA],1995,Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.
45,To Die For,106,"[USA, UK, Canada]",1995,"Suzanne Stone is an aspiring TV personality who will do anything to be in the spotlight, including enlisting three teenagers to kill her husband."
46,How to Make an American Quilt,109,[USA],1995,Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.
47,Seven (a.k.a. Se7en),127,[USA],1995,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his modus operandi."
48,Pocahontas,81,[USA],1995,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth-century Virginia.
49,When Night Is Falling,94,[Canada],1995,"An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town."
50,"Usual Suspects, The",106,"[USA, Germany]",1995,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which begin when five criminals meet at a seemingly random police lineup."
52,Mighty Aphrodite,95,[USA],1995,"When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a prostitute."
53,Lamerica,116,"[Italy, France, Switzerland]",1994,Two Italian racketeers come to Albania just after the fall of the communists to set up a fictive firm and pocket the grants. They need a stooge. They choose an old one in a jail : Spiro. ...
54,"Big Green, The",100,[USA],1995,"Another Disney underdog sports team of misfit kids (soccer this time) learns to play a new sport and become champions, while building self-esteem, making friends and solving a variety of ..."
55,Georgia,115,"[USA, France]",1995,"Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Sadie wants to be a famous artist like her sister, but is always doing everything wrong. Her ..."
57,Home for the Holidays,103,[USA],1995,"After losing her job, making out with her soon-to-be former boss and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her family."
58,"Postman, The (Postino, Il)",108,"[Italy, France, Belgium]",1994,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.
59,"Confessional, The (Confessionnal, Le)",100,"[Canada, UK, France]",1995,"The year is 1952, in Quebec City. Rachel, 16, unmarried, and pregnant, works in the church. Filled with shame, she unburdens her guilt to a young priest, under the confidentiality of the ..."
60,"Indian in the Cupboard, The",96,[USA],1995,On his ninth birthday a boy receives many presents. Two of them first seem to be less important: an old cupboard from his brother and a little Indian figure made of plastic from his best ...
61,Eye for an Eye,101,[USA],1996,"When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice."
62,Mr. Holland's Opus,143,[USA],1995,A frustrated composer finds fulfillment as a high school music teacher.
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,89,[USA],1996,"Don't Be a Menace to South Central While Drinking your Juice in the Hood is a parody of several U.S. films about being in the 'Hood', for instance Boyz n the Hood, South Central, ..."
64,Two if by Sea,96,[USA],1996,"Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that _last_ job, which involves stealing a valuable painting. ..."
65,Bio-Dome,88,[USA],1996,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year."
66,Lawnmower Man 2: Beyond Cyberspace,93,[USA],1996,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and ..."
68,French Twist (Gazon maudit),104,[France],1995,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again."
69,Friday,91,[USA],1995,"Two homies, Smokey and Craig, smoke a dope dealer's weed and try to figure a way to get the $200 they owe to the dealer by ten p.m. that same night. In that time, they smoke more weed, get jacked, and they get shot at in a drive-by."
70,From Dusk Till Dawn,108,[USA],1996,"Two criminals and their hostages unknowingly seek temporary refuge in an establishment populated by vampires, with chaotic results."
71,Fair Game,91,[USA],1995,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her."
72,Kicking and Screaming,96,[USA],1995,"Following graduation, a handful of college students do nothing and talk about it wittily."
73,"Misérables, Les",175,[France],1995,Henri Fortin is poor and iliterate former boxer. Ziman is rich Jewish lawyer from Paris. During WWII they meet when Fortin agrees to drive Ziman's family to Switzerland. Intrigued by Victor...
74,Bed of Roses,87,[USA],1996,"Romantic drama about a young career girl who is swept off her feet by a shy florist, who fell in love with her after one glimpse through a shadowy window."
76,Screamers,108,"[Canada, USA, Japan]",1995,"(SIRIUS 6B, Year 2078) On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as..."
77,Nico Icon,67,"[Germany, USA]",1995,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item,..."
78,"Crossing Guard, The",111,[USA],1995,Freddie Gale is a seedy jeweler who has sworn to kill the drunk driver who killed his little girl.
79,"Juror, The",118,[USA],1996,"When Annie Laird is selected as a juror in a big Mafia trial, she is forced by someone known as The Teacher to persuade the other jurors to vote not guilty. He threatens to kill her son..."
80,"White Balloon, The (Badkonake sefid)",85,[Iran],1995,Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.
81,Things to Do in Denver When You're Dead,115,[USA],1995,Five different criminals face imminent death after botching a job quite badly.
82,Antonia's Line (Antonia),102,"[Netherlands, Belgium, UK, France]",1995,"A Dutch matron establishes and, for several generations, oversees a close-knit, matriarchal community where feminism and liberalism thrive."
83,Once Upon a Time... When We Were Colored,115,[USA],1995,A narrator tells the story of his childhood years in a tightly knit Afro-American community in the deep south under racial segregation.
84,Last Summer in the Hamptons,108,[USA],1995,"Filmed entirely on location in East Hampton, Long Island, Last Summer in the Hamptons concerns a large theatrical family spending the last weekend of their summer together at the ..."
85,Angels and Insects,116,"[UK, USA]",1995,In the 1800s a naturalist marries into a family of British country gentry.
86,White Squall,129,"[USA, UK]",1996,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.
87,Dunston Checks In,88,[USA],1996,Young boy befriends larcenous orangutan in luxury hotel.
88,Black Sheep,87,[USA],1996,A gubernatorial candidate hires a wormy special assistant whose only job is to make sure the candidate's well-meaning but incompetent brother doesn't ruin the election.
89,Nick of Time,90,[USA],1995,"An unimpressive, every-day man is forced into a situation where he is told to kill a politician to save his kidnapped daughter."
92,Mary Reilly,108,"[USA, UK]",1996,"A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart, Mr. Hyde."
93,Vampire in Brooklyn,100,[USA],1995,"Maximillian is the only survivor from a race of vampires on a Caribbean Island, and as a vampire, he must find a mate to keep the line from ending. He knows that a child had been born to a ..."
94,Beautiful Girls,112,[USA],1996,A piano player at a crossroads in his life returns home to his friends and their own problems with life and love.
95,Broken Arrow,108,[USA],1996,Terrorists steal nuclear warheads from the U.S. military but don't count on a pilot and park ranger spoiling their plans.
96,In the Bleak Midwinter,99,[UK],1995,"Out of work actor Joe volunteers to help try and save his sister's local church for the community by putting on a Christmas production of Hamlet, somewhat against the advice of his agent ..."
97,"Hate (Haine, La)",98,[France],1995,24 hours in the lives of three young men in the French suburbs the day after a violent riot.
98,Shopping,87,"[UK, Japan]",1994,"You've run out of options, no school, no job. Steal a car, smash a shop with a heavy car and reap the proceeds!. This movie is about underground England. The causes, the benefits, and the result of a life of 'crash and carry'."
99,Heidi Fleiss: Hollywood Madam,106,"[UK, Germany, USA, Canada]",1995,"A documentary crew from the BBC arrives in L.A. intent on interviewing Heidi Fleiss, a year after her arrest for running a brothel but before her trial. Several months elapse before the ..."
100,City Hall,111,[USA],1996,"The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences."
101,Bottle Rocket,91,[USA],1996,Focusing on a trio of friends and their elaborate plan to pull off a simple robbery and go on the run.
102,Mr. Wrong,96,[USA],1996,"A single and lonely woman finds the seemingly perfect man to date, but soon regrets it when his deranged and possessive other personality emerges and worst still, she cannot convince anyone else of his Jekyll/Hyde true nature."
103,Unforgettable,117,[USA],1996,"Unsuccessfully framed for his wife's murder, Dr. David Krane attempts to find the real culprit by utilizing a new drug that allows him to experience the memories of other people first-hand...."
104,Happy Gilmore,92,[USA],1996,A rejected hockey player puts his skills to the golf course to save his grandmother's house.
105,"Bridges of Madison County, The",135,[USA],1995,"Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson, for four days in the 1960s."
107,Muppet Treasure Island,99,[USA],1996,The Muppets' twist on the classic tale.
108,Catwalk,95,[USA],1995,"A camera follows model Christy Turlington through the spring fashion shows in Milan, Paris, and New York one year in the early 1990s, probably 1992. She and others dash from one designer's ..."
110,Braveheart,178,[USA],1995,"When his secret bride is executed for assaulting an English soldier who tried to rape her, William Wallace begins a revolt against King Edward I of England."
111,Taxi Driver,113,[USA],1976,"A mentally unstable Vietnam war veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process."
112,Rumble in the Bronx (Hont faan kui),87,[Hong Kong],1995,A young man visiting and helping his uncle in New York City finds himself forced to fight a street gang and the mob with his martial art skills.
113,Before and After,108,[USA],1996,Two parents deal with the effects when their son is accused of murdering his girlfriend.
114,Margaret's Museum,114,"[Canada, UK]",1995,"Margaret MacNiel, a girl living in a Cape Breton coal mining town, finds her life changing when she meets Neil Currie, a cheerful bagpipe-playing dishwasher. Unfortunately, neither of them are able to escape the industry around them."
116,Anne Frank Remembered,122,"[UK, USA, Netherlands]",1995,"Using previously unreleased archival material in addition to contemporary interviews, this academy award-winning documentary tells the story of the Frank family and presents the first ..."
117,"Young Poisoner's Handbook, The",99,"[UK, Germany, France]",1995,"This film is based on a true story about a British teenager who allegedly poisoned family, friends, and co-workers. Graham is highly intelligent, but completely amoral. He becomes ..."
118,If Lucy Fell,92,[USA],1996,"Joe and Lucy are roommates and best friends. Lucy, whose love life is embarrassingly dull, convinces Joe, who is infatuated with a neighbor he's never met, that if they don't have stable ..."
119,"Steal Big, Steal Little",135,[USA],1995,"Ruben and Robby are twin brothers, adopted by Mona, one of the wealthiest - and most eccentric - women in Santa Barbara. Ruben is devoted to Mona, but Robby is more devoted to her money. So..."
121,"Boys of St. Vincent, The",93,[Canada],1992,The true story of boys being sexually abused at their orphanage ran by a religious community in Newfoundland.
122,Boomerang,117,[USA],1992,A successful executive and womanizer finds his lifestyle choices have turned back on him when his new female boss turns out to be an even bigger deviant than he is.
123,Chungking Express (Chung Hing sam lam),102,[Hong Kong],1994,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal server at a late-night restaurant he frequents."
124,"Star Maker, The (Uomo delle stelle, L')",113,[Italy],1995,A photographer and the types of people he encounters.
125,Flirting With Disaster,92,[USA],1996,"A young man, his wife, and his incompetent case worker travel across country to find his birth parents."
126,"NeverEnding Story III, The",95,"[Germany, USA]",1994,A young boy must restore order when a group of bullies steal the magical book that acts as a portal between Earth and the imaginary world of Fantasia.
129,Pie in the Sky,95,[USA],1996,A whimsical saga of a young man whose two life-consuming passions are unraveling traffic gridlock and an avant-garde dancer. A romantic comedy.
130,Angela,99,[USA],1995,"A ten year old girl named Angela leads her six year old sister, Ellie, through various regimens of 'purification' in an attempt to rid themselves of their evil, which she believes to be the..."
131,Frankie Starlight,101,"[France, UK, Ireland, USA]",1995,"This is a story of a man (Walker), suffering from dwarfism, who writes an autobiographical account of his life. In flashbacks, we see how he was conceived to a woman (Parillaud) at the end ..."
132,Jade,95,[USA],1995,"A bright assistant D.A. investigates a gruesome hatchet murder and hides a clue he found at the crime scene. Under professional threats and an attempt on his life, he goes on heartbroken because evidence point to the woman he still loves."
135,Down Periscope,92,[USA],1996,"Lt. Cmdr. Tom Dodge is assigned as Captain to the USS Stingray, an old diesel driven submarine that has seen better days. With a crew that consists only of weird guys (and a gal), he's ..."
137,Man of the Year,86,"[USA, UK]",1995,"Mockumentary look at Playgirl Magazine centerfold and 1992 Man of the Year, Dirk Shafer, who kept it a secret from the magazine that he is gay. Most of the film is a fictionalized retelling..."
140,Up Close and Personal,124,[USA],1996,"An ambitious young woman, determined to build a career in TV journalism, gets good advice from her first boss, and they fall in love."
141,"Birdcage, The",117,[USA],1996,A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancée's right-wing moralistic parents.
144,"Brothers McMullen, The",98,[USA],1995,"Three Irish Catholic brothers from Long Island struggle to deal with love, marriage, and infidelity."
145,Bad Boys,119,[USA],1995,Two hip detectives protect a murder witness while investigating a case of stolen heroin.
146,"Amazing Panda Adventure, The",84,[USA],1995,A young American boy visiting in China helps his zoologist father rescue a panda cub from unscrupulous poachers while his panda reserve is threatened with closure from officious bureaucrats.
147,"Basketball Diaries, The",102,[USA],1995,Film adaptation of street tough Jim Carroll's epistle about his kaleidoscopic free fall into the harrowing world of drug addiction. As a member of a seemingly unbeatable high school ...
148,"Awfully Big Adventure, An",112,[UK],1995,"Set right after World War II, a naive teenage girl joins a shabby theatre troupe in Liverpool. During a winter production of Peter Pan, the play quickly turns into a dark metaphor for youth..."
149,Amateur,105,"[USA, UK, France]",1994,"Isabelle is an ex-nun waiting for her special mission from God. In the meantime, she is making a living writing pornography. She meets Thomas, a sweet, confused amnesiac who cannot remember..."
150,Apollo 13,140,[USA],1995,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.
151,Rob Roy,139,"[USA, UK]",1995,"In the highlands of Scotland in the 1700s, Rob Roy tries to lead his small town to a better future, by borrowing money from the local nobility to buy cattle to herd to market. When the ..."
152,"Addiction, The",82,[USA],1995,"A New York philosophy grad student turns into a vampire after getting bitten by one, and then tries to come to terms with her new lifestyle and frequent craving for human blood."
153,Batman Forever,121,"[USA, UK]",1995,"Batman must battle Two-Face and The Riddler with help of an amourous psychologist and a young circus acrobat who becomes his sidekick, Robin."
154,Beauty of the Day (Belle de jour),101,"[France, Italy]",1967,A frigid young housewife decides to spend her midweek afternoons as a prostitute.
155,Beyond Rangoon,100,"[UK, USA]",1995,"Laura is trying to pick up the pieces of her life after the murder of her husband and son, and goes on vacation with her sister to Burma. After losing her passport at a political rally, she..."
156,Blue in the Face,83,[USA],1995,"Wayne Wang's follow-up movie to Smoke presents a series of improvisational situations strung together to form a pastiche of Brooklyn's diverse ethnicity, offbeat humor, and essential ..."
157,Canadian Bacon,91,[USA],1995,"The U.S. President, low in the opinion polls, gets talked into raising his popularity by trying to start a cold war against Canada."
158,Casper,100,[USA],1995,A paranormal expert and his daughter bunk in an abandoned house populated by 3 mischievous ghosts and one friendly one.
159,Clockers,128,[USA],1995,"Young drug pushers in the projects of Brooklyn live hard dangerous lives, trapped between their drug bosses and the detectives out to stop them."
160,Congo,109,[USA],1995,"When an expedition to the African Congo ends in disaster, a new team is assembled to find out what went wrong."
161,Crimson Tide,116,[USA],1995,"On a US nuclear missile sub, a young first officer stages a mutiny to prevent his trigger happy captain from launching his missiles before confirming his orders to do so."
162,Crumb,119,[USA],1994,An intimate portrait of the controversial cartoonist and his traumatized family.
163,Desperado,104,[USA],1995,A gunslinger is embroiled in a war with a local drug runner.
164,Devil in a Blue Dress,102,[USA],1995,An African American man is hired to find a woman and gets mixed up in a murderous political scandal.
165,Die Hard: With a Vengeance,128,[USA],1995,"John McClane and a Harlem store owner are targeted by German terrorist Simon Gruber in New York City, where he plans to rob the Federal Reserve Building."
166,"Doom Generation, The",83,"[USA, France]",1995,"Jordan White and Amy Blue, two troubled teens, pick up an adolescent drifter, Xavier Red. Together, the threesome embark on a sex and violence-filled journey through an America of psychos and quickiemarts."
167,Feast of July,116,"[USA, UK]",1995,"After an abandoned young woman in late 19th Century England is taken in by a rural couple with three handsome sons, tragic consequences result."
168,First Knight,134,[USA],1995,"Lancelot falls in love with Guinevere, who is due to be married to King Arthur. Meanwhile, a violent warlord tries to seize power from Arthur and his Knights of the Round Table."
169,Free Willy 2: The Adventure Home,95,"[France, USA]",1995,Jesse becomes reunited with Willy three years after the whale's jump to freedom as the teenager tries to rescue the killer whale and other orcas from an oil spill.
170,Hackers,107,[USA],1995,"A young boy is arrested by the U.S. Secret Service for writing a computer virus and is banned from using a computer until his 18th birthday. Years later, he and his new-found friends ..."
171,Jeffrey,92,[USA],1995,"Jeffrey, a young gay man in New York, decides that sex is too much and decided to become celibate. He immediately meets the man of his dreams and must decide whether or not love is worth ..."
172,Johnny Mnemonic,96,"[Canada, USA]",1995,"A data courier, literally carrying a data package inside his head, must deliver it before he dies from the burden or is killed by the Yakuza."
173,Judge Dredd,96,[USA],1995,"In a dystopian future, Joseph Dredd, the most famous Judge (a police officer with instant field judiciary powers), is convicted for a crime he did not commit and must face his murderous counterpart."
174,Jury Duty,88,[USA],1995,"When jobless Tommy Collins discovers that sequestered jurors earn free room and board as well as $5-a-day, he gets himself assigned to a jury in a murder trial. Once there, he does ..."
175,Kids,91,[USA],1995,"A day in the life of a group of teens as they travel around New York City skating, drinking, smoking, and deflowering virgins."
176,Living in Oblivion,90,[USA],1995,Film about filmmaking. It takes place during one day on set of non-budget movie. Ultimate tribute to all independent filmmakers.
177,Lord of Illusions,109,[USA],1995,"During a routine case in L.A., NY private investigator Harry D'Amour stumbles over members of a fanatic cult, who are waiting for the resurrection of their leader Nix. 13 years ago, Nix was..."
178,Love & Human Remains,100,[Canada],1993,"Set in a dreary urban landscape of an anonymous Canadian city, LOVE AND HUMAN REMAINS is a dark comedy about a group of twentysomethings looking for love and meaning in the '90s. The film ..."
179,Mad Love,93,[USA],1995,Casey and Matt are high school kids in love. They run away together after Casey's parents check her into a mental hospital for trying to kill herself. Matt sneaks her out and on the road ...
180,Mallrats,94,[USA],1995,"Both dumped by their girlfriends, two best friends seek refuge in the local mall."
181,Mighty Morphin Power Rangers: The Movie,95,"[USA, Japan, Australia]",1995,"A giant egg is unearthed at a construction site and soon opened, releasing the terrible Ivan Ooze, who wreaks vengeance on Zordon for imprisoning him millennia ago. With Zordon dying and their powers lost, the Rangers head to a distant planet to find the mystic warrior Dulcea."
183,Mute Witness,95,"[Russia, UK, Germany]",1995,"Billy Hughes, a mute makeup artist working on a slasher film being shot in Moscow, is locked in the studio after hours. While there she witnesses a brutal murder, and must first escape ..."
184,Nadja,93,[USA],1994,"This ultra-hip, post-modern vampire tale is set in contemporary New York City. Members of a dysfunctional family of vampires are trying to come to terms with each other, in the wake of ..."
185,"Net, The",114,[USA],1995,"A computer programmer stumbles upon a conspiracy, putting her life and the lives of those around her in great danger."
186,Nine Months,103,[USA],1995,"When he finds out his longtime girlfriend is pregnant, a commitment-phobe realizes he might have to change his lifestyle for better or much, much worse."
187,Party Girl,94,[USA],1995,"Mary is a free-spirited young woman with a run-down New York apartment and a high fashion wardrobe. She calls her godmother, a librarian, for bail money after being arrested for throwing an..."
188,"Prophecy, The",98,[USA],1995,"The angel Gabriel comes to Earth to collect a soul which will end the stalemated war in Heaven, and only a former priest and a little girl can stop him."
189,Reckless,91,[USA],1995,"On Christmas Eve, a regretful husband admits to his high-spirited wife that he has hired a contract killer to take her out. She immediately flees. A nice couple offers her shelter, but everyone have dark secrets in this wacky movie."
190,Safe,119,"[UK, USA]",1995,An affluent and unexceptional homemaker in the suburbs develops multiple chemical sensitivity.
191,"Scarlet Letter, The",135,[USA],1995,An affair between a young woman and a pastor has disastrous consequences.
193,Showgirls,128,"[France, USA]",1995,"A young drifter, named Nomi, arrives in Las Vegas to become a dancer and soon sets about clawing and pushing her way to become the top of the Vegas showgirls."
194,Smoke,112,"[Germany, Japan, USA]",1995,"A Brooklyn smoke shop is the center of neighborhood activity, and the stories of its customers."
195,Something to Talk About,106,[USA],1995,A woman's world is rocked when she discovers her husband is cheating on her.
196,Species,108,[USA],1995,A group of scientists try to track down and trap a killer alien seductress before she successfully mates with a human.
198,Strange Days,145,[USA],1995,A former cop turned street-hustler accidentally uncovers a police conspiracy in 1999 Los Angeles.
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",91,"[France, West Germany]",1964,A young girl separated from her lover by war faces a life altering decision.
200,"Tie That Binds, The",99,[USA],1995,John Netherwood and his wife Leann are fugitives who are both wanted for murder. They have a young daughter named Janie. John and Leann are in the process of robbing a house when the two ...
201,Three Wishes,115,[USA],1995,"In an unexplained act of charity, Jeanne Holman, picks up an injured, apparent tramp and takes him home to care for him little realising who he was or the effect he would have on her life and those of her family."
202,Total Eclipse,111,"[UK, France, Belgium]",1995,"Young, wild poet Arthur Rimbaud and his mentor Paul Verlaine engage in a fierce, forbidden romance while feeling the effects of a hellish artistic lifestyle."
203,"To Wong Foo, Thanks for Everything! Julie Newmar",109,[USA],1995,"Three drag queens travel cross-country until their car breaks down, leaving them stranded in a small town."
204,Under Siege 2: Dark Territory,100,[USA],1995,"Casey Ryback hops on a Colorado to LA train to start a vacation with his niece. Early into the trip, terrorists board the train and use it as a mobile HQ to hijack a top secret destructive US satellite."
205,Unstrung Heroes,93,[USA],1995,"Steven Lidz, unhappy with his home life since his mother got sick, goes and lives with his two crazy Uncles. There he changes and gets closer to his Uncles, but his parents want him home ..."
206,Unzipped,73,[USA],1995,"Isaac Mizrahi, one of the most successful designers in high fashion, plans his fall 1994 collection. He combines inspirations such as the Hollywood Eskimo look, the Mary Tyler Moore show, ..."
207,"Walk in the Clouds, A",102,"[USA, Mexico]",1995,"A Walk in the Clouds depicted a story about a young-married US military soldier, named Paul, who returned home after the World War II. In the middle of the way back home, he accidentally ..."
208,Waterworld,135,[USA],1995,"In a future where the polar ice-caps have melted and Earth is almost entirely submerged, a mutated mariner fights starvation and outlaw smokers, and reluctantly helps a woman and a young girl try to find dry land."
209,White Man's Burden,89,"[France, USA]",1995,"The story takes place in alternative America where the blacks are members of social elite, and whites are inhabitants of inner city ghettos. Louis Pinnock is a white worker in a chocolate ..."
