name
Sydney Pollack
Brian G. Hutton
Sam Peckinpah
Michael Armstrong
 Adrian Hoven
Robert Butler
Bernardo Bertolucci
Denis Sanders
Bob Rafelson
Arthur Allan Seidelman
Roy Andersson
Hal Ashby
Michael Lindsay-Hogg
Herbert Ross
Donald Cammell
 Nicolas Roeg
Lionel Jeffries
Michael Apted
Jesús Franco
Bud Yorkin
George Lucas
 Kinji Fukasaku
 Toshio Masuda
Ken Russell
Michael Wadleigh
Vincent McEveety
Tony Palmer
 Frank Zappa
Robert Fuest
Ian MacNaughton
Tom Laughlin
Piers Haggard
Marcel Ophüls
Steven Spielberg
Don Taylor
William Friedkin
Mike Hodges
Peter Bogdanovich
Claude Jutra
Boris Sagal
Clint Eastwood
Giuliano Montaldo
Gordon Parks
Douglas Trumbull
Wei Lo
 Chia-Hsiang Wu
Monte Hellman
Richard C. Sarafian
Nicolas Roeg
Mel Stuart
Buzz Kulik
Milton Katselas
Michael Ritchie
Aleksandr Seryj
Michael Benveniste
 Howard Ziehm
Ralph Bakshi
Francis Ford Coppola
Yves Robert
Eugenio Martín
Kenji Misumi
Wes Craven
Bruce Lee
John Waters
 Irwin Allen
Peter Medak
Gordon Parks Jr.
Wim Wenders
Terrence Malick
John D. Hancock
Charles A. Nichols
 Iwao Takamoto
James William Guercio
Robert Clouse
Marco Ferreri
Perry Henzell
Tonino Valerii
Jean Eustache
Franco Brusati
James Bridges
René Laloux
Jerry Schatzberg
Brian De Palma
Ere Kokkonen
Michael Crichton
Joseph Sargent
Robin Hardy
Jamie Uys
Ted Kotcheff
Joe Camp
Bob Clark
Paul Morrissey
Michael Winner
John Hough
Just Jaeckin
 Antonio Margheriti
Gordon Hessler
H.B. Halicki
Ken Shapiro
Peter Davis
Don Edmonds
Martin Davidson
 Stephen Verona
Terry Gilliam
 Terry Jones
Liliana Cavani
Robert Taylor
Tobe Hooper
Jack Haley Jr.
Bo Arne Vibenius
Michael Cimino
Bertrand Blier
John Lounsbery
L.Q. Jones
Philippe Mora
Jean-Charles Tacchella
Paul Bartel
Yu Wang
Dick Richards
Bill Rebane
Ellen Hovde
 Albert Maysles
 Muffie Meyer
Howard Zieff
Joan Micklin Silver
Peter Weir
Dario Argento
Jim Sharman
David Cronenberg
Ramesh Sippy
Shigehiro Ozawa
Lina Wertmüller
Nagisa Ôshima
John Carpenter
James Frawley
Alan Parker
Dan Curtis
Michael Schultz
Pupi Avati
Carlos Saura
James Fargo
David Lynch
Mark Haggard
 Bruce Kimmel
Barbara Kopple
Sergio Garrone
Nicolas Gessner
Robert Moore
Richard Donner
John G. Avildsen
Frank Pierson
Jerry Jameson
Michael Pressman
Richard Attenborough
Ridley Scott
Gary Nelson
Jonathan Demme
Alfred Sole
Nobuhiko Ôbayashi
Anthony Page
Derek Jarman
John Landis
Robert Benton
Carl Reiner
Paolo Taviani
 Vittorio Taviani
Enzo G. Castellari
 Art Stevens
James Goldstone
John Badham
Sam Wanamaker
Hal Needham
Paul Verhoeven
Alan Rudolph
Corey Allen
Joel M. Reed
Paul Schrader
Steve Rash
Édouard Molinaro
 Mike Hodges
Bruno Barreto
Burt Reynolds
Irvin Kershner
John Alan Schwartz
James Toback
Colin Higgins
 Bruce Lee
Errol Morris
Randal Kleiser
Warren Beatty
 Buck Henry
Jules Bass
 Arthur Rankin Jr.
Meir Zarchi
Donald Wrye
George Kaczender
Philip Kaufman
Jeannot Szwarc
Robert S. Fiveson
Joe Dante
Chia-Liang Liu
Woo-Ping Yuen
Lou Adler
 Tommy Chong
Martin Rosen
David Lowell Rich
Carroll Ballard
Volker Schlöndorff
Ruggero Deodato
Abel Ferrara
Lewis John Carlino
Gerald Seth Sindell
Terry Jones
George Miller
Ivan Reitman
Harold Becker
Jonathan Kaplan
Don Coscarelli
Franc Roddam
Albert Brooks
Marino Girolami
Jeff Margolis
Allan Arkush
 Joe Dante
Sylvester Stallone
Mark Rydell
Hayao Miyazaki
Alan Clarke
Nicholas Meyer
William Wiard
Lucio Fulci
Glenn Silber
 Barry Alexander Brown
Walter Hill
Fred Walton
Bruce Beresford
Jim Abrahams
 David Zucker
 Jerry Zucker
Lewis Teague
Buddy Van Horn
John De Bello
Jimmy T. Murakami
 Roger Corman
 Phil Roman
Harold Ramis
Tinto Brass
 Bob Guccione
 Giancarlo Lui
Nancy Walker
Robert Kaylor
Tommy Chong
Joel Oliansky
John Irvin
 Richard Quine
 Peter Sellers
Richard Elfman
Sean S. Cunningham
Julien Temple
Terry Marcel
Floyd Mutrux
Ferenc Rófusz
John Mackenzie
William Lustig
Kevin Connor
Tony Bill
William Peter Blatty
Danny Goldberg
 Anthony Potenza
 Julian Schlossberg
Andrea Bianchi
Robert Redford
Lang Elliott
Paul Lynch
John Sayles
Jay Sandrich
Bill Persky
Jackie Chan
Robert Houston
Rob Cohen
Sidney Poitier
 Richard Donner
Alberto De Martino
Robert Zemeckis
Les Blank
Art Linson
Gary Weis
Robert Greenwald
Luigi Cozzi
Steve Gordon
Steno
Jeffrey Bloom
Lawrence Kasdan
Wolfgang Petersen
Tony Maylam
Carl Gottlieb
Hugh Hudson
Desmond Davis
John Milius
Bertrand Tavernier
Ivan Passer
Penelope Spheeris
Steven Hilliard Stern
Jean-Jacques Beineix
Matthew Robbins
Richard Marquand
Ed Bianchi
Graham Baker
John Glen
Alan Alda
Ted Berman
 Richard Rich
Steve Miner
Bruce D. Clark
Jim Henson
Bill Forsyth
Jean-Jacques Annaud
Rick Rosenthal
Oliver Stone
Gerald Potterton
Tom DeSimone
Friz Freleng
István Szabó
Juan Piquer Simón
Bruce Malmuth
 Gary Nelson
Peter Hyams
James Cameron
 Ovidio G. Assonitis
Hector Babenco
Andrzej Zulawski
Georges Lautner
Jack Fisk
Richard Franklin
Andrew Bergman
John Derek
Michael Mann
Malcolm Leo
 Andrew Solt
Ulu Grosbard
Jonas Cornell
Luis Valdez
Ken Finkleman
Jack Sholder
Damiano Damiani
Jayne Loader
 Kevin Rafferty
 Pierce Rafferty
Frank Henenlotter
Bill Cosby
David S. Ward
Wayne Wang
 Frank Oz
Barry Levinson
Peter Greenaway
Sam Raimi
Peter Duffell
Amy Heckerling
Graeme Clifford
Patricia Birch
Pedro Almodóvar
Boaz Davidson
Terry Hughes
 Ian MacNaughton
Jerzy Skolimowski
Richard Benjamin
Michael Miller
Ron Howard
Taylor Hackford
Charles Band
Jim Jarmusch
Robert Towne
Daniel Vigne
Joe Layton
Pierre De Moro
Don Bluth
Amy Holden Jones
Dianne Jackson
 Jimmy T. Murakami
Tim Hunter
Steven Lisberger
Tim Burton
Garry Marshall
 Sammo Kam-Bo Hung
Michael Chapman
Jim McBride
James Signorelli
Bruce Gowers
Gregory Nava
Adrian Lyne
Tommy Lee Wallace
Tony Scott
Joe Alves
Godfrey Reggio
 Terry Gilliam
Stan Dragoti
George Bowers
Noel Black
Richard Pryor
Paul Brickman
Robert Hiltzik
Dick Lowry
Lamont Johnson
Jeremy Kagan
Rick Moranis
 Dave Thomas
James L. Brooks
Lynne Littman
 John Landis
 George Miller
 Steven Spielberg
John Herzfeld
Martha Coolidge
Barbra Streisand
W.D. Richter
Neal Israel
Martin Brest
Joel Coen
 Ethan Coen
Roger Donaldson
Joel Silberg
Sam Firstenberg
Douglas Cheek
Fritz Kiersch
Richard Pearce
Paul Donovan
 Digby Cook
 Tony Randel
Joseph Ruben
Steve Barron
Mark L. Lester
Joseph Zito
Koji Hashimoto
 R.J. Kizer
Peter Markle
Stewart Raffill
Roland Joffé
Nick Castle
Glenn Jordan
Ken Wiederhorn
Gillian Armstrong
Frank Oz
Thom Eberhardt
Michael Radford
Hugh Wilson
Albert Magnoli
John Byrum
James Foley
Alex Cox
Jeff Kanew
Juliusz Machulski
John Hughes
Leonard Nimoy
Douglas Day Stewart
Rob Reiner
Rob Epstein
Gene Wilder
Bill Norton
Savage Steve Holland
Arna Selznick
Jonathan Lynn
Dusan Makavejev
Andrew Davis
Simon Wincer
Mike Newell
Donna Deitch
Susan Seidelman
Gavin Millar
Robert Mandel
Kevin Reynolds
Danny Steinmann
Tom Holland
Luca Bercovici
Alan Metter
Luis Puenzo
 Chi-Hwa Chen
Lisa Gottlieb
 George Ogilvie
Gus Van Sant
Lasse Hallström
Jonathan R. Betuel
Howard Storm
Phillip Borsos
Fred Schepisi
Jerry Paris
James Komack
George Butler
Geoff Murphy
George P. Cosmatos
Stuart Gordon
Dan O'Bannon
Walter Murch
Andrey Konchalovskiy
Agnès Varda
Ken Kwapis
Claude Lanzmann
Daniel Attias
Joel Schumacher
Rod Daniel
Christopher Cain
Mick Jackson
Michael Herz
 Lloyd Kaufman
Peter Masterson
Peter Faiman
Tom Moore
David Hugh Jones
Alex van Warmerdam
Edward Zwick
Paul Michael Glaser
Dale Schott
Randa Haines
Richard W. Haines
Christopher Morahan
Buddy Giovinazzo
Stephen Herek
Eugene Corr
Denys Arcand
Robert M. Young
Tom McLoughlin
Ron Clements
 Burny Mattinson
 David Michener
 John Musker
Bob Swaim
Russell Mulcahy
Eliseo Subiela
David Anspaugh
Willard Huyck
Elem Klimov
Claude Berri
Penny Marshall
Trevor Nunn
 Eric Tsang
David Seltzer
John Lasseter
Stephen King
Neil Jordan
Stephen Frears
David Beaird
Fred Dekker
John McTiernan
Augusto Caminito
 Mario Caiano
 Luigi Cozzi
 Klaus Kinski
 Maurizio Lucidi
Brian Gibson
Howard Deutch
Anthony Perkins
George Pavlou
Aki Kaurismäki
Jim Goddard
Spike Lee
Ross McElwee
Carol Frank
Harry Winer
Jûzô Itami
Nelson Shin
Charles Martin Smith
John Carl Buechler
David Byrne
Richard Wenk
Emilio Estevez
John Woo
John Cornell
Chris Columbus
Tamar Simon Hoffs
 Carl Gottlieb
 Peter Horton
 Robert K. Weiss
Woo-sang Park
 Y.K. Kim
 Bruce Beresford
 Bill Bryden
 Jean-Luc Godard
 Derek Jarman
 Franc Roddam
 Ken Russell
 Charles Sturridge
 Julien Temple
Gabriel Axel
Charles Shyer
Lyndall Hobbs
Peter Jackson
Barbet Schroeder
Curtis Hanson
Ben Bolt
 Harold Becker
Newt Arnold
Cheech Marin
Jerry Rees
Steve De Jarnatt
Michael Gornick
Jeffrey Delman
Emile Ardolino
Richard Lowenstein
Tom Mankiewicz
Robert Townsend
John R. Cherry III
Rod Amateau
Tibor Takács
William Dear
Bruce Pittman
Clive Barker
Bob Giraldi
Yimou Zhang
Ethan Wiley
David Mamet
Corey Yuen
Elaine May
Marek Kanievska
Michael Gottlieb
Gary Goddard
George Mendeluk
Pat O'Connor
Tina Hirsch
Kathryn Bigelow
Jörg Buttgereit
Kevin Tenney
Chuck Russell
Peter Werner
William Phelps
Menahem Golan
Bille August
Jim Drake
Joe Roth
Siu-Tung Ching
Deborah Brock
Ramón Menéndez
James M. Muro
Todd Haynes
Peter George
Phil Joanou
Danny DeVito
Jeff Bleckner
Bruce Robinson
John Duigan
Paul Flaherty
Craig R. Baxley
Katsuhiro Ôtomo
Richard Boden
Aaron Norris
Ron Shelton
Claire Denis
Glenn Gordon Caron
Mick Garris
Annabel Jankel
 Rocky Morton
 John Cleese
Luc Besson
Dwight H. Little
Tony Randel
Mike Leigh
Isao Takahata
Keenen Ivory Wayans
Andrew Solt
Bud S. Smith
David Stevens
Krzysztof Kieslowski
Greg Beeman
Donald Petrie
David Zucker
Vincent Ward
Jan Svankmajer
William Richert
Renny Harlin
Giuseppe Tornatore
Christopher Crowe
George Scribner
Percy Adlon
Alan Myerson
Gary Sherman
Stan Winston
Peter MacDonald
Geoff Burrowes
Mira Nair
Carl Schultz
Roger Spottiswoode
Kenneth Johnson
George Sluizer
Steven Kampmann
 William Porter
Bill Fishman
Shin'ya Tsukamoto
Paul Bogart
Zalman King
Brian Gilbert
Jon Hess
Anthony Hickox
Yahoo Serious
 Gary Goldman
 Dan Kuenster
Cedric Sundstrom
Christoph Lauenstein
 Wolfgang Lauenstein
Robert Radler
Christopher Guest
Masanori Hata
Jeff Blyth
 Jeffrey Friedman
Martin Campbell
Phillip Noyce
Marc Rocco
Dave Thomas
Steve Kloves
Phil Alden Robinson
Chris Walas
Al Reinert
Rob Hedden
Dominique Othenin-Girard
Eddie Murphy
Michael Lehmann
Kenneth Branagh
Joe Johnston
Mark DiSalle
 David Worth
Uli Edel
Joe Pytka
Richard Greenberg
Thomas Schlamme
Patrice Leconte
Jim Sheridan
Jeremiah S. Chechik
 Martin Scorsese
Stephen Hopkins
Thomas J. Wright
Mary Lambert
Peter Bonerz
Ron Oliver
 Peter R. Simpson
Mark Goldblatt
David Schmoeller
Jim Wynorski
Rowdy Herrington
Bruce McDonald
Michael Moore
Cameron Crowe
Michael Caton-Jones
Zelda Barron
Michael Haneke
William Shatner
Pekka Parikka
 Albert Magnoli
Francis Veber
Jay Levey
Robert Bierman
Will Mackenzie
Steven Soderbergh
Jon Jost
 Cathy Caplan
 Thomas Haneke
 Lawrence Silk
Tom Berry
Jane Campion
Frank Marshall
Brian Yuzna
John Lafia
Nick Park
Jean-Paul Rappeneau
Kevin Costner
Malcolm Mowbray
Jerry Zucker
Ralph S. Singleton
James D. Parriott
John McNaughton
Agnieszka Holland
Reginald Hudlin
Mike Figgis
John Patrick Shanley
 Fengliang Yang
Jeff Burr
Norman René
Harry Hook
Whit Stillman
George Armitage
Bernt Amadeus Capra
James Orr
Tom Savini
Jennie Livingston
Mamoru Oshii
Dennis Dugan
Allan Moyle
David Allen
Howard Franklin
 Bill Murray
Philip Ridley
Bob Logan
Hendel Butoy
 Mike Gabriel
Tom Stoppard
Jan Egleson
Sally Mattison
John Harrison
Charles Burnett
Ron Underwood
Jack Nicholson
Hal Hartley
Gerhard Hahn
 Niki List
 Michael Schaack
Barry Sonnenfeld
Robert Lieberman
Leos Carax
Phil Nibbelink
 Simon Wells
Sylvio Tabet
Gary Trousdale
 Kirk Wise
Peter Hewitt
Eric Red
John Singleton
Yasunori Ide
 Matt Greenfield
Bryan Gordon
David Kellogg
Eugene Levy
Marc Caro
 Jean-Pierre Jeunet
Nancy Savoca
Sheldon Lettich
Ate de Jong
Lars von Trier
Rachel Talalay
Jon Avnet
Peter Chelsom
Fax Bahr
 George Hickenlooper
 Eleanor Coppola
George Jackson
 Doug McHenry
James Lapine
Roberto Benigni
Ngai Choi Lam
Jodie Foster
Dale Launer
Alek Keshishian
Gabriele Salvatores
Keith Gordon
Nick Broomfield
Jonathan Wacks
Mario Van Peebles
Dan Aykroyd
Jorge Montesi
 Dominique Othenin-Girard
Carl Franklin
Heywood Gould
Brian Levant
Jocelyn Moorhouse
David DeCoteau
Michael Tolkin
William A. Graham
Lili Fini Zanuck
Bobcat Goldthwait
Richard Linklater
Michael Hoffman
Kevin Hooks
 Rolando Hudson
Daniel Petrie Jr.
Anthony Minghella
Luis Mandoki
Hark Tsui
Jon Turteltaub
David Fincher
Martin Bell
Edward James Olmos
Ron Fricke
Fernando Trueba
Tim Robbins
Joe Berlinger
 Bruce Sinofsky
Fran Rubel Kuzui
Rémy Belvaux
 André Bonzel
 Benoît Poelvoorde
Bernard Rose
Jack Bender
Alfonso Arau
Guillermo del Toro
Peter Kosminsky
Les Mayfield
Bill Kroyer
Allison Anders
Régis Wargnier
Bigas Luna
Stanley Tong
Tom DiCillo
Brett Leonard
Masami Hata
 William T. Hurtz
Arne Glimcher
Mark Achbar
 Peter Wintonick
Robert Rodriguez
Barry Shils
Billy Crystal
Brian Henson
Kenny Ortega
Irwin Winkler
Cyril Collard
Gary Sinise
Katt Shea
Clay Borris
John Dahl
Quentin Tarantino
Abbe Wool
Geoffrey Wright
Ringo Lam
 Hark Tsui
Barnet Kellman
Baz Luhrmann
Nora Ephron
Claudio Fragasso
Roland Emmerich
Fernando E. Solanas
Arnold Glassman
 Todd McCarthy
 Stuart Samuels
Neal Jimenez
 Michael Steinberg
Stephen Sommers
John Murlowski
E. Max Frye
Emir Kusturica
Kaige Chen
Iain Softley
Rolf de Heer
Maggie Greenwald
Eric Radomski
 Bruce W. Timm
 Kevin Altieri
 Boyd Kirkland
 Frank Paur
 Dan Riba
Vadim Jean
Gurinder Chadha
James B. Harris
Jennifer Chambers Lynch
John N. Smith
Robert De Niro
Tamra Davis
Adam Simon
 Darren Moloney
Andrew Birkin
David Price
Alan Shapiro
Marco Brambilla
Gérard Mordillat
Mikael Salomon
Rusty Cundieff
Tomás Gutiérrez Alea
 Juan Carlos Tabío
Ron Maxwell
Takao Okawara
Todd Phillips
Duwayne Dunham
Leslie Megahey
Ang Lee
Adam Marcus
Dominic Sena
Mark Jones
Tom Ropelewski
André Téchiné
Ray Müller
Arthur Borman
Mel Gibson
Albert Hughes
 Allen Hughes
Bob Balaban
Bruce Joel Rubin
Mathieu Kassovitz
Gene Quintano
Fraser Clarke Heston
Henry Selick
Yoshiaki Kawajiri
 Kevin Seymour
Charles Grosvenor
Sally Potter
Jerry Ciccoritti
Bryan Singer
Toby Shelton
 Tad Stones
 Alan Zaslove
Daniel Stern
Victor Nunez
David M. Evans
Steven Zaillian
Dave Borthwick
Bill Duke
Luis Llosa
George Hickenlooper
Jon Amiel
Takeshi Kitano
Joseph Vilsmaier
Li Yin
Scott McGehee
 David Siegel
Thomas Carter
Stuart Gillard
Steven M. Martin
François Girard
Yurek Bogayevicz
 Kevin Jarre
